genus,image_url,summary
Serratifusus,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Serratifusus_lineatus_%28MNHN-IM-2000-6527%29.jpeg/250px-Serratifusus_lineatus_%28MNHN-IM-2000-6527%29.jpeg,"Serratifusus is a genus of sea snails, marine gastropod molluscs in the whelk family Austrosiphonidae.


== Species ==
Species within the genus Serratifusus include:

† Serratifusus craspedotus'' (Tate, 1888) 
Serratifusus excelens Fraussen Hadorn, 2003
Serratifusus harasewychi Fraussen Hadorn, 2003
Serratifusus lineatus Harasewych, 1991
Serratifusus sitanius Fraussen Hadorn, 2003
Serratifusus virginiae Harasewych, 1991


== References ==

Darragh, T.A. (1969). A revision of the family Columbariidae (Mollusca: Gastropoda)."
Nassaria,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Nassaria_exquisita_001.jpg/250px-Nassaria_exquisita_001.jpg,"Nassaria is a genus of sea snails, marine gastropod molluscs in the subfamily Tomliniinae of the family Nassariidae.


== Taxonomy ==
This genus was treated within family Buccinidae. It was moved to family Nassariidae in 2016."
Stenosemus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Stenosemus_nitens_%28MNHN-IM-2013-45830%29_001.jpeg/250px-Stenosemus_nitens_%28MNHN-IM-2013-45830%29_001.jpeg,"Stenosemus is a genus of polyplacophoran molluscs in the family Ischnochitonidae.


== Taxonomy ==
This genus is only tentatively placed in Ischnochitonidae.


== Species ==
Stenosemus albus (Linnaeus, 1767)
Stenosemus beui (O'Neill, 1987)
Stenosemus chiversi A. J. Ferreira, 1981
Stenosemus delicatus (Kaas, 1991)
Stenosemus discernibilis (Kaas, 1991)
Stenosemus dolii (Van Belle & Dell'Angelo, 1998)
Stenosemus exaratus (Sars G. O., 1878)
Stenosemus fijiensis Sirenko, 2017
Stenosemus gallaecus (Carmona Zalvide, Urgorri & F. J. García, 2001)
Stenosemus golikovi Sirenko, 1994
Stenosemus herosae Sirenko, 2008
Stenosemus kolesnikovi Sirenko, 1994
Stenosemus merveae Sirenko, 2016
Stenosemus mexicanus (Kaas, 1993)
Stenosemus moskalevi Sirenko, 2016
Stenosemus nitens Sirenko, 2020
Stenosemus perforatus (Kaas, 1990)
Stenosemus philippei Sirenko, 2017
† Stenosemus radiatus Dell'Angelo, Lesport, Cluzaud & Sosso, 2020
Stenosemus robustus (Kaas, 1991)
Stenosemus sharpii (Pilsbry, 1896)
Stenosemus simplicissimus (Thiele, 1906)
Stenosemus solomonensis Sirenko, 2017
Stenosemus stearnsii (Dall, 1902)
Stenosemus substriatus (Kaas & Van Belle, 1990)
Stenosemus undatopleuralis Sirenko, 2023
Stenosemus vanbellei (Kaas, 1985)
Stenosemus vitreolus (Kaas, 1985)


== References ==


== External links ==

Middendorff T.A. (1847)."
Nassarius,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Nassarius_arcularia_01.JPG/250px-Nassarius_arcularia_01.JPG,"Nassarius, common name nassa mud snails (USA) or dog whelks (UK), is a genus of minute to medium-sized sea snails, marine gastropod molluscs in the family Nassariidae. They are scavengers.


== Etymology ==
The name is derived from the Latin word ""nassa"", meaning a wickerbasket with a narrow neck, for catching fish."
Puncturella,https://upload.wikimedia.org/wikipedia/commons/b/b6/Puncturella_Noachina_%28Sowerby%29.jpg,"Puncturella is a genus of minute deepwater keyhole limpets, marine gastropod mollusks or micromollusks in the family Fissurellidae, the keyhole limpets and slit limpets.


== Species ==
Species in this genus include:

Species brought into synonymy

Puncturella aethiopica Martens, 1902: synonym of Rimulanax aethiopica (E. von Martens, 1902) (original combination)
Puncturella alicei (Dautzenberg & Fischer H., 1897): synonym of Profundisepta alicei (Dautzenberg & Fischer, 1897)
Puncturella analoga Martens, 1903: synonym of  Puncturella conica (d'Orbigny, 1841)
Puncturella asturiana (Fischer, 1882): synonym of Cranopsis asturiana (Fischer, 1882)
Puncturella asturiana var. alta Locard, 1898: synonym of Cranopsis asturiana (Fischer 1882)
Puncturella christiaensi Kilburn, 1978: synonym of Puncturella nana (Adams, 1872)
Puncturella corolla Verco, 1908: synonym of Rimulanax corolla (Verco, 1908) (original combination)
Puncturella craticia Watson, 1883: synonym of Cranopsis asturiana (Fischer, 1882)
Puncturella decorata Cowan & McLean, 1968: synonym of  Cranopsis decorata (Cowan & McLean, 1968)
Puncturella demissa Hedley, 1904: synonym of Puncturella kesteveni Hedley, 1900
Puncturella enderbyensis Powell, 1958: synonym of Fissurisepta enderbyensis (Powell, 1958)
Puncturella expansa (Dall, 1896): synonym of  Cranopsis expansa (Dall, 1896)
Puncturella fumarium Hedley, 1911: synonym of  Fissurisepta fumarium (Hedley, 1911)
Puncturella granulata Seguenza, 1862: synonym of Rimula granulata Seguenza, 1862
Puncturella henniana Brazier, 1894: synonym of  Puncturella harrisoni Beddome, 1883
Puncturella kesteveni Hedley, 1900: synonym of Vacerrena kesteveni (Hedley, 1900) (original combination)
Puncturella microphyma Dautzenberg & Fischer, 1896: synonym of Cornisepta microphyma (Dautzenberg & Fischer, 1896)
Puncturella nana (Adams, 1872): synonym of Vacerrena nana (H. Adams, 1872)
Puncturella pacifica Cowan, 1969: synonym of  Fissurisepta pacifica (Cowan, 1969)
Puncturella profundi (Jeffreys, 1877): synonym of Profundisepta profundi (Jeffreys, 1877)
Puncturella sportella Watson, 1883 : synonym of  Profundisepta sportella (Watson, 1883)
Puncturella tuberculata Watson, 1883: synonym of Cranopsis granulata (Seguenza, 1863)
Puncturella voraginosa Herbert & Kilburn, 1986: synonym of Profundisepta voraginosa (Herbert & Kilburn, 1986) (original combination)
Puncturella (Cranopsis) antillana Pérez Farfante, 1947: synonym of Cranopsis antillana (Pérez Farfante, 1947)
Puncturella (Cranopsis) asturiana (Fischer, 1882): synonym of Cranopsis asturiana (Fischer, 1882)
Puncturella (Cranopsis) billsae Pérez Farfante, 1947: synonym of Cranopsis billsae (Pérez Farfante, 1947)
Puncturella (Cranopsis) granulata (Seguenza, 1863): synonym of Cranopsis granulata (Seguenza, 1863)
Puncturella (Cranopsis) serraticostata Herbert & Kilburn, 1986: synonym of Cranopsis serraticostata (Herbert & Kilburn, 1986)
Puncturella (Cranopsis) tosaensis Habe, 1951: synonym of Cranopsis tosaensis (Habe, 1951)


== References ==

Vaught, K.C. (1989)."
Tosapusia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Tosapusia_bismarckeana_%28MNHN-IM-2000-30202%29.jpeg/250px-Tosapusia_bismarckeana_%28MNHN-IM-2000-30202%29.jpeg,"Tosapusia is a genus of sea snails, marine gastropod mollusks, in the family Costellariidae, the ribbed miters.


== Species ==
Species within the genus Tosapusia include:
Synonyms

Tosapusia evelynae (Guillot de Suduiraut, 2007): synonym of Tosapusia evelyniana (S.-I. Huang, 2017)


== Habitat and Distribution ==
As presented in-text in the study of Fedosov et al. (2017):

""Indo-Pacific, from Madagascar to Japan and French Polynesia, in deep water (300–1000 m) on soft bottoms""."
Marshallena,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Marshallena_nierstraszi_001.jpg/250px-Marshallena_nierstraszi_001.jpg,"Marshallena is a genus of sea snails, marine gastropod mollusks in the family Marshallenidae.
R.S. Allen (1927) didn't specify a type species for this genus. H.J. Finlay (1927) selected Belophos incertus Marshall, 1919, which was amended by Powell (1966 + 1969) to † Daphnella neozelanica Suter, 1917
Before 2018 this genus used to belong to the family Horaiclavidae."
Zafra,,
Ancilla,,
Naquetia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/WLA_hmns_Naquetia_annandalei_2.jpg/250px-WLA_hmns_Naquetia_annandalei_2.jpg,"Naquetia is a genus of medium-sized sea snails, marine gastropod mollusks in the family Muricidae, the rock snails or murex snails.


== Species ==
Species within the genus Naquetia include:

Naquetia annandalei (Preston, 1910)
Naquetia barclayi (Reeve, 1858)
Naquetia cumingii (A. Adams, 1853)
Naquetia fosteri D'Attilio & Hertz, 1987
Naquetia jickelii (Tapparone Canefri, 1875)
Naquetia manwaii Houart & Héros, 2013
Naquetia rhondae Houart & Lorenz, 2015
Naquetia triqueter (Born, 1778)
Naquetia vokesae Houart, 1986
Species brought into synonymy

Naquetia capucina (Lamarck, 1822): synonym of Chicoreus capucinus (Lamarck, 1822)
Naquetia superbus (G. B. Sowerby III, 1889): synonym of Chicomurex superbus (G. B. Sowerby III, 1889)


== References ==

Houart, R., Moe, C. & Chen C. (2021). Living species of the genera Chicomurex Arakawa, 1964 and Naquetia Jousseaume, 1880 (Gastropoda: Muricidae) in the Indo-West Pacific."
