#JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
# Updated 2025 Aug  5 0444:30
A00001	NNA	1957 ALP	1957 ALP 3	C  F        	GO	Golovniy Obtekatel'	1957 Oct  4	S00001	1957 Oct  4 1933	Earth	1957 Nov?	R	-	NII88	SU	OKB1	PS Fairing	-	      10 	?	     10 	?	       0 	?	   0.5 	?	  0.5 	?	    0.5 	?	Cone	1957 Oct  4	     214	 	     938	 	 65.10 	 	LLEO/I	-	-
A00002	00003	1957 BET	1957 BET 1	R2          	8K71PS No. M1-11 Stage 2	8K71A M1-11 (M1-2PS)	1957 Nov  3	-	1957 Nov  3 0235	Earth	1958 Apr 14	R	-	NII88	SU	OKB1	Blok-A	-	    7790 	 	   7790 	 	       0 	?	  28.0 	 	  2.6 	 	   28.0 	 	Cyl	1957 Nov  3	     211	 	    1659	 	 65.33 	 	LEO/I	-	-
A00003	NNA	1957 BET	1957 BET 2	C  F        	GO	Golovniy Obtekatel'	1957 Nov  3	A00002	1957 Nov  3 0236	Earth	1957 Dec?	R	-	NII88	SU	OKB1	PS Fairing	-	      10 	?	     10 	?	       0 	?	   2.0 	?	  1.0 	?	    2.0 	?	Cone	1957 Nov  3	     211	 	    1659	 	 65.33 	 	LEO/I	-	-
A00004	00004	1958 ALP	1958 ALP	R4          	Cluster 4 Assembly 4	RTV Motor	1958 Feb  1	R02006	1958 Feb  1 0355	Earth	1970 Mar 31	R	-	JPL	US	JPL	RTV Motor	-	       6 	 	      6 	 	       0 	 	   1.2 	 	  0.1 	 	    1.2 	 	Cyl	1958 Feb  1	     359	 	    2542	 	 33.18 	 	LEO/I	-	-
A00005	00006	1958 GAM	1958 GAM	R4          	Cluster 7 Assembly 4	RTV Motor	1958 Mar 26	R02082	1958 Mar 26 1745	Earth	1958 Jun 28	R	-	JPL	US	JPL	RTV Motor	-	       6 	 	      6 	 	       0 	 	   1.2 	 	  0.1 	 	    1.2 	 	Cyl	1958 Mar 26	     188	 	    2800	 	 33.38 	 	LEO/I	-	-
A00006	NNA	1958 DEL	1958 DEL 3	C  F        	GO	Golovniy Obtekatel'	1958 May 15	S00007	1958 May 15 0706	Earth	1958?	R	-	NII88	SU	OKB1	PS Fairing	-	      10 	?	     10 	?	       0 	?	   0.5 	?	  0.5 	?	    0.5 	?	Cone	1959 May  7	     207	 	    1247	 	 65.12 	 	LEO/I	-	-
A00007	NNA	1958 DEL	1958 DEL 4	C  F        	GO part	Fairing section?	1958 May 15	S00007	1958 May 15 0706	Earth	1958?	R	-	NII88	SU	OKB1	PS Fairing	-	      10 	?	     10 	?	       0 	?	   0.5 	?	  0.5 	?	    0.5 	?	Cone	1959 May  7	     207	 	    1247	 	 65.12 	 	LEO/I	-	-
A00008	NNA	1958 DEL	1958 DEL 5	C  F        	GO part	Fairing section?	1958 May 15	S00007	1958 May 15 0706	Earth	1958?	R	-	NII88	SU	OKB1	PS Fairing	-	      10 	?	     10 	?	       0 	?	   0.5 	?	  0.5 	?	    0.5 	?	Cone	1959 May  7	     207	 	    1247	 	 65.12 	 	LEO/I	-	-
A00009	00009	1958 EPS	1958 EPS	R4          	Cluster 9 Assembly 4	RTV Motor	1958 Jul 26	R02275	1958 Jul 26 1507	Earth	1959 Oct 23	R	-	JPL	US	JPL	RTV Motor	-	       5 	 	      5 	 	       0 	 	   1.2 	 	  0.1 	 	    1.2 	 	Cyl	1959 Apr 24	     258	 	    1352	 	 50.21 	 	LEO/I	-	-
A00010	NNA	1958 ETA	1958 ETA	R3          	Thor Able I Stage 3	Altair X-248-A3	1958 Oct 11	R02515	1958 Oct 11 0848?	Earth	1958 Oct 13	R	-	NASAHQ/AFBMD	US	ABL	Altair	-	      24 	 	     24 	 	      24 	 	   1.5 	 	  0.5 	 	    1.5 	 	Cyl	1958 Oct 11	    -870	 	  105600	 	 35.89 	 	SO	-	-
