# DeepCat   	JCAT
D00001      	A00016
D00002      	S00112
D00003      	S00113
D00004      	A00018
D00005      	A00019
D00006      	A00020
D00007      	S00114
D00008      	A00033
D00009      	S00021
D00010      	A00035
D00011      	S00027
D00012      	A00042
D00013      	A00044
D00014      	A00045
D00015      	A00079
D00016      	S00080
D00017      	S00098
D00018      	A00090
D00019      	S00221
D00020      	S00222
D00021      	A00164
D00022      	A00165
D00023      	S00282
D00024      	S00280
D00025      	A00187
D00026      	A00188
D00027      	S00375
D00028      	S00374
D00029      	S00440
D00030      	S00439
D00031      	A00287
D00032      	A00288
D00033      	S00450
D00034      	A00293
D00035      	A00328
D00036      	S00566
D00037      	A00330
D00038      	A00331
D00039      	A00332
D00040      	S00693
D00041      	A00419
D00042      	A00420
D00043      	A00421
D00044      	S00747
D00045      	A00438
D00046      	A00454
D00047      	S00785
D00048      	A00455
D00049      	S00843
D00050      	S00842
D00051      	S00879
D00052      	A00535
D00053      	A00576
D00054      	A00577
D00055      	S00923
D00056      	S00942
D00057      	S00938
D00058      	S00945
D00059      	A00596
D00060      	S01087
D00061      	S01086
D00062      	S01298
D00063      	S01294
D00064      	A00692
D00065      	S01366
D00066      	A00695
D00067      	A00696
D00068      	A00697
D00069      	S01388
D00070      	A00712
D00071      	A00713
D00072      	A00714
D00073      	A00725
D00074      	S01393
D00075      	A00730
D00076      	A00731
D00077      	A00732
D00078      	A00749
D00079      	S01454
D00080      	S01503
D00081      	A00771
D00082      	A00795
D00083      	S01610
D00084      	A00799
D00085      	A00800
D00086      	A00801
D00087      	A00820
D00088      	S01730
D00089      	S01736
D00090      	S01733
D00091      	A00890
D00092      	A00823
D00093      	S01810
D00094      	A00831
D00095      	A00832
D00096      	A00833
D00097      	A00847
D00098      	S01841
D00099      	S02001
D00100      	S01954
D00101      	A00866
D00102      	A00868
D00103      	A00869
D00104      	S02130
D00105      	S02126
D00106      	S02131
D00107      	S02132
D00108      	A00916
D00109      	S02187
D00110      	S02185
D00111      	A00946
D00112      	A00947
D00113      	S02260
D00114      	A00976
D00115      	A00977
D00116      	A00978
D00117      	S02258
D00118      	A00981
D00119      	S02394
D00120      	S02395
D00121      	S02402
D00122      	S02398
D00123      	A01023
D00124      	A01017
D00125      	S02406
D00126      	A01022
D00127      	S02426
D00128      	S02425
D00129      	A01042
D00130      	A01043
D00131      	A01058
D00132      	S02508
D00133      	A01059
D00134      	A01060
D00135      	S02513
D00136      	S02512
D00137      	S02535
D00138      	S02534
D00139      	A01097
D00140      	S02626
D00141      	A01102
D00142      	A01103
D00143      	A01104
D00144      	A01118
D00145      	S02666
D00146      	A01137
D00147      	A01138
D00148      	S02705
D00149      	S02764
D00150      	S02756
D00151      	A01154
D00152      	A01155
D00153      	A08290
D00154      	A01167
D00155      	S02772
D00156      	S02817
D00157      	A01183
D00158      	A01184
D00159      	A01185
D00160      	A01192
D00161      	S02840
D00162      	A01254
D00163      	S02846
D00164      	S02845
D00165      	S02883
D00166      	S02875
D00167      	A01211
D00168      	A01212
D00169      	A01214
D00170      	A01215
D00171      	A01216
D00172      	S02884
D00173      	A01217
D00174      	A01218
D00175      	S02908
D00176      	S02907
D00177      	A01235
D00178      	A01236
D00179      	S02938
D00180      	S02937
D00181      	S03034
D00182      	S03031
D00183      	A01281
D00184      	A01282
