JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
D00002	00112	-	1959 MU 1	P   D       	AMS Luna-1	E-1 No. 4	1959 Jan  2	Earth	1959 Jan 10 0900?	Sun	-	O	HCO	OKB1	SU	OKB1	E-1	-	     205 	 	    205 	 	     205 	 	   0.8 	 	  0.8 	 	    2.0 	 	Sphere + Ant	1959 Jan  4	   0.980 	 	   1.315 	 	  0.04 	?	HCO	-	-
D00001	NNA	-	1959 MU	R3  D       	8K72E No. B1-6	8K72E	1959 Jan  2	Earth	1959 Jan 10 0900?	Sun	-	O	HCO	NII88	SU	OKB1	Blok-E	-	    1472 	 	   1472 	 	    1472 	 	   5.0 	 	  2.7 	 	    5.0 	 	Cyl	1959 Jan  4	   0.980 	?	   1.315 	?	  0.04 	?	HCO	-	-
D00003	00113	-	1959 NU 1	P   D       	Pioneer 4	Pioneer 4	1959 Mar  3	Earth	1959 Mar 12 1000?	Sun	-	O	HCO	ABMA	US	JPL	Juno II Probe	-	       7 	 	      7 	 	       7 	 	   0.6 	 	  0.2 	 	    0.6 	 	Cone	1959 Mar 17	   0.987 	 	   1.142 	 	  1.30 	 	HCO	-	-
D00004	NNA	-	1959 NU	R4  D       	Cluster 12 Assembly 4	RTV Motor	1959 Mar  3	Earth	1959 Mar 12 1000?	Sun	-	O	HCO	ABMA	US	JPL	RTV Motor	-	       5 	 	      5 	 	       5 	 	   1.2 	 	  0.1 	 	    1.2 	 	Cyl	1959 Mar 17	   0.980 	?	   1.140 	?	  1.30 	?	HCO	-	-
D00005	NNA	-	1959 NU	C  YD       	Despin weight	-	1959 Mar  3	Earth	1959 Mar 12 1000?	Sun	-	O	HCO	ABMA	US	JPL	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    1.5 	 	Disk + Cable	1959 Mar 17	   0.980 	?	   1.140 	?	  1.30 	?	HCO	-	-
D00006	NNA	-	1959 NU	C  YD       	Despin weight	-	1959 Mar  3	Earth	1959 Mar 12 1000?	Sun	-	O	HCO	ABMA	US	JPL	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    1.5 	 	Disk + Cable	1959 Mar 17	   0.980 	?	   1.140 	?	  1.30 	?	HCO	-	-
D00011	00027	-	1960 ALP 1	P   D       	Pioneer V	P-2	1960 Mar 11	Earth	1960 Mar 17 1630?	Sun	-	O	HCO	NASA	US	TRW	Able Probe	-	      43 	 	     43 	 	      43 	 	   0.7 	 	  0.7 	 	    2.4 	 	Sphere + 4 Pan	1960 Aug 10	   0.806 	 	   0.992 	 	  3.35 	 	HCO	-	-
D00012	NNA	-	1960 ALP	R3  D       	Altair	Altair X-248	1960 Mar 11	Earth	1960 Mar 17 1630?	Sun	-	O	HCO	USAF	US	ABL	Altair	-	      24 	 	     24 	 	      24 	 	   1.7 	 	  0.5 	 	    1.7 	 	Cyl	1960 Aug 10	   0.806 	 	   0.992 	 	  3.35 	 	HCO	-	-
D00015	NNA	-	1961 GAM	R4  D       	Blok-L No. L1-6B	Blok-L	1961 Feb 12	Earth	1961 Feb 14 1900	Sun	1961 May 20?	EO	Venus	RVSN	SU	OKB1	Blok-L	-	    5000 	?	    900 	?	       0 	?	   2.7 	 	  2.5 	 	    2.7 	 	Cyl	1961 Mar	   0.718 	 	   1.019 	 	  0.58 	 	HCO	-	-
D00016	00080	-	1961 GAM 1	P   D       	AMS Venera	1VA No. 2	1961 Feb 12	Earth	1961 Feb 14 1900	Sun	1961 May 20?	EO	Venus	OKB1	SU	OKB1	1VA	-	     620 	 	    620 	 	     620 	 	   2.0 	 	  1.0 	 	    3.0 	?	Cyl + Dome + Ant	1961 Mar	   0.718 	 	   1.019 	 	  0.58 	 	HCO	-	-
