#JCAT	Piece	Name	Owner	State	World	Lon	Lat	LType	Status	LaunchDate	LandDate	OffDate	Dur	LSite	Comment
# Updated 2025 Aug  5 0444:49
D00007	1959 XI 1	AMS E-1A No. 7 (Luna-2)	OKB1	SU	Luna	    0.0	   30.0	I	I	1959 Sep 12 0639:42	1959 Sep 13 2102	1959 Sep 13 2102	    0.000 	Sinus Lunicus	Lunar impact probe
D00008	1959 XI	8K72E No. I1-7B (Luna-2 R/B)	NII88	SU	Luna	         -	         -	R	I	1959 Sep 12 0639:42	1959 Sep 13 2100?	1959 Sep 13 2100?	    0.000 	-	Rocket stage, probably hit Moon
D00026	1962 MU	Ranger Capsule 13	JPL	US	Luna	 -130.50	  -15.50	LI	I	1962 Apr 23 2050	1962 Apr 26 1249	1962 Apr 26 1250	    0.000 	-	Ranger 4 capsule, off course and hit farside
D00025	1962 MU	BE-3	JPL	US	Luna	 -130.50	  -15.50	C	I	1962 Apr 23 2050	1962 Apr 26 1249	1962 Apr 26 1250	    0.000 	-	Retromotor
D00024	1962 MU 1	Ranger 4	JPL	US	Luna	 -130.50	  -15.50	C	I	1962 Apr 23 2050	1962 Apr 26 1250	1962 Apr 26 1250	    0.000 	-	Service module
D00044	1964-007A	Ranger 6	JPL	US	Luna	   21.4806	    9.3866	I	I	1964 Jan 30 1549:09	1964 Feb  2 0924:33	1964 Feb  2 0924:33	    0.000 	-	Lunar impact probe, no data
D00050	1964-041A	Ranger 7	JPL	US	Luna	  -20.6771	  -10.6340	I	I	1964 Jul 28 1650:07	1964 Jul 31 1325:49	1964 Jul 31 1325:49	    0.000 	Mare Cognitum	Lunar impact probe, returned images
D00061	1965-010A	Ranger 8	JPL	US	Luna	   24.7881	    2.6377	I	I	1965 Feb 17 1705:00	1965 Feb 20 0957:37	1965 Feb 20 0957:37	    0.000 	-	Lunar impact probe, returned images
D00063	1965-023A	Ranger 9	JPL	US	Luna	   -2.3884	  -12.8281	I	I	1965 Mar 21 2137:02	1965 Mar 24 1408:21	1965 Mar 24 1408:21	    0.000 	-	Lunar impact probe, returned images
D00066	1965-036	E-6 No 10 SA (Luna-5)	OKB1	SU	Luna	   -8	  -31	LA	I	1965 May  9 0749:37	1965 May 12 1913	1965 May 12 1913	    0.000 	-	Lost attitude, crashed
D00065	1965-036A	Luna-5	OKB1	SU	Luna	   -8	  -31	C	I	1965 May  9 0749:37	1965 May 12 1913	1965 May 12 1913	    0.000 	-	Service module
D00067	1965-036	Otdelyaemiy otsek No. 1	OKB1	SU	Luna	   -8	  -31	C	I	1965 May  9 0749:37	1965 May 12 1913	1965 May 12 1910	    0.000 	-	Component
D00068	1965-036	Otdelyaemiy otsek No. 2	OKB1	SU	Luna	   -8	  -31	C	I	1965 May  9 0749:37	1965 May 12 1913	1965 May 12 1910	    0.000 	-	Component
D00083	1965-077A	Luna-7	OKB1	SU	Luna	  -49	    9	C	I	1965 Oct  4 0736:48	1965 Oct  7 2208	1965 Oct  7 2208	    0.000 	-	Service module
D00084	1965-077A	ALS Luna-7	OKB1	SU	Luna	  -49	    9	LA	I	1965 Oct  4 0736:48	1965 Oct  7 2208	1965 Oct  7 2208	    0.000 	-	No retro burn, crashed
D00085	1965-077	Otdelyaemiy otsek No. 1	OKB1	SU	Luna	  -49	    9	C	I	1965 Oct  4 0736:48	1965 Oct  7 2208	1965 Oct  7 2208	    0.000 	-	Component
D00086	1965-077	Otdelyaemiy otsek No. 2	OKB1	SU	Luna	  -49	    9	C	I	1965 Oct  4 0736:48	1965 Oct  7 2208	1965 Oct  7 2208	    0.000 	-	Component
D00093	1965-099A	Luna-8	OKB1	SU	Luna	  -63.30	    9.13	C	I	1965 Dec  3 1046:14	1965 Dec  6 2151:30	1965 Dec  6 2151:30	    0.000 	-	Service module
