#JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
# Updated 2025 Aug  5 0444:30
L00001	NSO	1942-A01	1942-A01	R1          	V-2	A-4 payload	1942 Jun 13	-	1942 Jun 13	Earth	1942 Jun 13	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1942 Jun 13	   -6300	?	       1	 	  0.00 	 	ATM	U	-
L00002	NSO	1942-A02	1942-A02	R1          	V-2	A-4 payload	1942 Aug 16	-	1942 Aug 16	Earth	1942 Aug 16	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1942 Aug 16	   -6300	?	      11	 	  0.00 	 	ATM	U	-
L00003	NSO	1942-A03	1942-A03	R1          	V-2	A-4 payload	1942 Oct 21	-	1942 Oct 21	Earth	1942 Oct 21	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1942 Oct 21	   -6300	?	      40	?	  0.00 	 	ATM	U	-
L00004	NSO	1942-M01	1942-M01	R1          	V-2	A-4 payload	1942 Nov  9	-	1942 Nov  9	Earth	1942 Nov  9	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1942 Nov  9	   -6300	?	      67	 	  0.00 	 	ATM	U	-
L00005	NSO	1942-A04	1942-A04	R1          	V-2	A-4 payload	1942 Nov 28	-	1942 Nov 28	Earth	1942 Nov 28	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1942 Nov 28	   -6300	?	       5	?	  0.00 	 	ATM	U	-
L00006	NSO	1942-A05	1942-A05	R1          	V-2	A-4 payload	1942 Dec 12	-	1942 Dec 12	Earth	1942 Dec 12	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1942 Dec 12	   -6300	?	       0	 	  0.00 	 	ATM	U	-
L00007	NSO	1943-A01	1943-A01	R1          	V-2	A-4 payload	1943 Jan  7	-	1943 Jan  7	Earth	1943 Jan  7	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1943 Jan  7	   -6300	?	       0	 	  0.00 	 	ATM	U	-
L00008	NSO	1943-A02	1943-A02	R1          	V-2	A-4 payload	1943 Jan 25	-	1943 Jan 25	Earth	1943 Jan 25	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1943 Jan 25	   -6300	?	      40	?	  0.00 	 	ATM	U	-
L00009	NSO	1943-A03	1943-A03	R1          	V-2	A-4 payload	1943 Feb 17	-	1943 Feb 17	Earth	1943 Feb 17	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1943 Feb 17	   -6300	?	      30	?	  0.00 	 	ATM	U	-
L00010	NSO	1943-A04	1943-A04	R1          	V-2	A-4 payload	1943 Feb 19	-	1943 Feb 19	Earth	1943 Feb 19	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1943 Feb 19	   -6300	?	       1	?	  0.00 	 	ATM	U	-
L00011	NSO	1943-A05	1943-A05	R1          	V-2	A-4 payload	1943 Mar  3	-	1943 Mar  3	Earth	1943 Mar  3	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1943 Mar  3	   -6300	?	       0	 	  0.00 	 	ATM	U	-
L00012	NSO	1943-A06	1943-A06	R1          	V-2	A-4 payload	1943 Mar 25	-	1943 Mar 25	Earth	1943 Mar 25	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1943 Mar 25	   -6300	?	       0	 	  0.00 	 	ATM	U	-
L00013	NSO	1943-A07	1943-A07	R1          	V-2	A-4 payload	1943 May 26	-	1943 May 26	Earth	1943 May 26	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1943 May 26	   -6300	?	      10	?	  0.00 	 	ATM	U	-
L00014	NSO	1943-A08	1943-A08	R1          	V-2	A-4 payload	1943 Jun 22	-	1943 Jun 22	Earth	1943 Jun 22	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1943 Jun 22	   -6300	?	       5	?	  0.00 	 	ATM	U	-
L00015	NSO	1943-A09	1943-A09	R1          	V-2	A-4 payload	1943 Jun 29	-	1943 Jun 29	Earth	1943 Jun 29	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1943 Jun 29	   -6300	?	       1	 	  0.00 	 	ATM	U	-
L00016	NSO	1943-A10	1943-A10	R1          	V-2	A-4 payload	1943 Jul  1	-	1943 Jul  1	Earth	1943 Jul  1	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1943 Jul  1	   -6300	?	       0	 	  0.00 	 	ATM	U	-
L00017	NSO	1943-A11	1943-A11	R1          	V-2	A-4 payload	1943 Jul  9	-	1943 Jul  9	Earth	1943 Jul  9	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1943 Jul  9	   -6300	?	       0	 	  0.00 	 	ATM	U	-
L00018	NSO	1943-A12	1943-A12	R1          	V-2	A-4 payload	1943 Jul  9	-	1943 Jul  9	Earth	1943 Jul  9	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1943 Jul  9	   -6300	?	       0	 	  0.00 	 	ATM	U	-
L00019	NSO	1943-A13	1943-A13	R1          	V-2	Heidelager Test	1943 Nov  5	-	1943 Nov  5	Earth	1943 Nov  5	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1943 Nov  5	   -6300	?	       1	?	  0.00 	 	ATM	U	-
