#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
# Updated 2025 Aug  5 0444:32
R01454	1956-S107	Vanguard TV0	1956 Dec  8 	1956 Dec  8	1956 Dec  8	1956 Dec  8	-	Vanguard Prog	-	-	-	D	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R01568	1957-S31	Vanguard TV1	1957 May  1 	1957 May  1	1957 May  1	1957 May  1	-	Vanguard Prog	-	-	-	D	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R01854	1957-S142	Vanguard TV2	1957 Oct 23 	1957 Oct 23	1957 Oct 23	1957 Oct 23	-	Vanguard Prog	-	-	-	D	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R03150	1959-S165	Mercury P	1959 Sep  9 	1959 Sep  9	1959 Sep  9	1959 Sep  9	-	Mercury MA	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R03305	1959-S226	Shotput 1	1959 Oct 28 	1959 Oct 28	1959 Oct 28	1959 Oct 28	-	Echo Shotput	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R03417	1959-S264	Mercury P	1959 Dec  4 	1959 Dec  4	1959 Dec  4	1959 Dec  4	-	Mercury LJ	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R03512	1960-S13	Shotput 2	1960 Jan 16 	1960 Jan 16	1960 Jan 16	1960 Jan 16	-	Echo Shotput	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R03577	1960-S41	Shotput 3	1960 Feb 27 	1960 Feb 27	1960 Feb 27	1960 Feb 27	-	Echo Shotput	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R03643	1960-S70	Shotput 4	1960 Apr  1 	1960 Apr  1	1960 Apr  1	1960 Apr  1	-	Echo Shotput	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R03753	1960-S115	Shotput 5	1960 May 31 	1960 May 31	1960 May 31	1960 May 31	-	Echo Shotput	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R03864	1960-S161	ST-1	1960 Jul  2 	1960 Jul  2	1960 Jul  2	1960 Jul  2 0027	-	Scout Test	-	-	-	C	SCI	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R04254	1960-S352	D-2	1960 Nov  8 	1960 Nov  8	1960 Nov  8	1960 Nov  8	-	Blue Scout D	-	-	-	D	SCI	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R04388	1960-S415	Mercury SC2	1960 Dec 19 	1960 Dec 19	1960 Dec 19	1960 Dec 19	-	Mercury MR	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R04437	1961-S12	D-3	1961 Jan  7 	1961 Jan  7	1961 Jan  7	1961 Jan  7 1754?	-	Blue Scout D	-	-	-	D	SCI	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
