JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
T00001	NNA	2025-135	2025-135	P       ?	Lemur-2	Lacunasat	2025 Jun 23	A11555	2025 Jul 15	Earth	-	O	-	SPIRE/LACU	US	SPIREG	Cubesat 4U	-	5		5		5		0.4		0.1		0.4		Box	2025 Jul 17	586		595		97.75		LLEO/S	-	-
T00002	NNA	2025-038	2025-038	P   D	Cubesat	Cubesat	2025 Feb 27	S63102	2025 Feb 27 0105	Earth	-	AO	-	UNKUS	US	SPINV	Cubesat 16U	-	20	?	20	?	20	?	0.4		0.4		0.4		Box	-	0		0		0.00		-	-	-
T00003	NNA	2025-135	2025-135	P       ?	Good Ancestor Kilakila	Emergency Comms Sat	2025 Jun 23	A11534	2025 Jun 23 2220	Earth	-	O	-	GAF	US	GAF	Cubesat 2U	-	2		2		2		0.2		0.1		0.2		Box	2025 Jul 19	512		517		97.45		LLEO/S	-	-
T00004	NNA	2025-180	2025-180G	P       ?	ThumbSat-1	TS-1	2025 Aug 19	S65264	2025 Aug 19 0755?	Earth	-	O	-	THUMB/HAIWS	MX	THUMB	Thumbsat	-	0.100		0.100		0.100		0.020		0.048		0.048		Box+ boom	-	0		0		0.00		-	-	-
T00005	NNA	2025-180	2025-180H	P       ?	ThumbSat-2	TS-2	2025 Aug 19	S65264	2025 Aug 19 0755?	Earth	-	O	-	THUMB/HAIWS	MX	THUMB	Thumbsat	-	0.100		0.100		0.100		0.020		0.048		0.048		Box+ boom	-	0		0		0.00		-	-	-
T00006	NNA	2025-052	2025-052BS	P       ?	Tevel 2-6	Tevel 2-6	2025 Mar 15	A11437	2025 Mar 15 0739	Earth	-	O	-	TAU/ISA	IL	ISA/TAU	Cubesat 1U	-	1		1		1		0.1		0.1		0.1		Box	2025 Mar 28	512		517		97.45		LLEO/S	-	-
T00007	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-		-		-		-		-		-	-	-		-		-		-	-	-	-
T00008	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-		-		-		-		-		-	-	-		-		-		-	-	-	-
T00009	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-		-		-		-		-		-	-	-		-		-		-	-	-	-
T00010	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-		-		-		-		-		-	-	-		-		-		-	-	-	-
T00011	NNA	2025-052	2025-052	P       ?	Tevel 2-5	Tevel 2-5	2025 Mar 15	A11437	2025 Mar 15 0739	Earth	-	O	-	TAU/ISA	IL	ISA/TAU	Cubesat 1U	-	1		1		1		0.1		0.1		0.1		Box	2025 Mar 28	511		517		97.45		LLEO/S	-	-
T00012	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-		-		-		-		-		-	-	-		-		-		-	-	-	-
T00013	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-		-		-		-		-		-	-	-		-		-		-	-	-	-
