#JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
# Updated 2025 Aug  5 0444:30
T00001	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
T00002	NNA	2025-038	2025-038	P   D       	Cubesat	Cubesat	2025 Feb 27	S63102	2025 Feb 27 0105	Earth	-	AO	-	UNKUS	US	SPINV	Cubesat 16U	-	      20 	?	     20 	?	      20 	?	   0.4 	 	  0.4 	 	    0.4 	 	Box	-	       0	 	       0	 	  0.00 	 	-	-	-
T00003	NNA	2025-135	2025-135	P       ?   	Good Ancestor Kilakila	Emergency Comms Sat	2025 Jun 23	A11534	2025 Jun 23 2220	Earth	-	O	-	GAF	US	GAF	Cubesat 2U	-	       2 	 	      2 	 	       2 	 	   0.2 	 	  0.1 	 	    0.2 	 	Box	2025 Jul 19	     512	 	     517	 	 97.45 	 	LLEO/S	-	-
T00004	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
T00005	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
T00006	NNA	2025-052	2025-052BS	P       ?   	Tevel 2-6	Tevel 2-6	2025 Mar 15	A11437	2025 Mar 15 0739	Earth	-	O	-	TAU/ISA	IL	ISA/TAU	Cubesat 1U	-	       1 	 	      1 	 	       1 	 	   0.1 	 	  0.1 	 	    0.1 	 	Box	2025 Mar 28	     512	 	     517	 	 97.45 	 	LLEO/S	-	-
T00007	NNA	2025-154	2025-154H	P       ?   	Skykraft 4B	Skykraft 4B	2025 Jul 23	S64872	2025 Jul 30?	Earth	-	O	-	SKYKR	AU	SKYKR	Skykraft	-	      50 	?	     50 	?	      50 	?	   0.6 	?	  0.1 	?	    0.6 	?	Box	-	       0	 	       0	 	  0.00 	 	-	-	-
T00008	NNA	2025-154	2025-154J	P       ?   	Skykraft 4C	Skykraft 4C	2025 Jul 23	S64872	2025 Jul 30?	Earth	-	O	-	SKYKR	AU	SKYKR	Skykraft	-	      50 	?	     50 	?	      50 	?	   0.6 	?	  0.1 	?	    0.6 	?	Box	-	       0	 	       0	 	  0.00 	 	-	-	-
T00009	NNA	2025-154	2025-154K	P       ?   	Skykraft 4D	Skykraft 4D	2025 Jul 23	S64872	2025 Jul 30?	Earth	-	O	-	SKYKR	AU	SKYKR	Skykraft	-	      50 	?	     50 	?	      50 	?	   0.6 	?	  0.1 	?	    0.6 	?	Box	-	       0	 	       0	 	  0.00 	 	-	-	-
T00010	NNA	2025-154	2025-154L	P       ?   	Skykraft 4E	Skykraft 4E	2025 Jul 23	S64872	2025 Jul 30?	Earth	-	O	-	SKYKR	AU	SKYKR	Skykraft	-	      50 	?	     50 	?	      50 	?	   0.6 	?	  0.1 	?	    0.6 	?	Box	-	       0	 	       0	 	  0.00 	 	-	-	-
