JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
D01052	NNA	1969-U01	1969-U01	PP HX       	Eagle	LM 5 Ascent Stage	1969 Jul 21	D00271	1969 Jul 21 1754:01	Luna	1969 Jul 21 2135:00	DK	D00273	MSC	US	GRUM	LM AS	-	    4888 	 	   2878 	 	   15101 	 	   3.2 	 	  4.3 	 	    3.2 	 	Irr	1969 Jul 21	      18	 	      88	 	156.90 	 	PCO	-	-
D01053	NNA E	1969-U01	1969-U01	CP EX       	A7L-056	A7L PGA  [Armstrong]	1969 Jul 21	D01052	1969 Jul 21 1754:01	Luna	1969 Jul 21 2145	TFR	D00273	MSC	US	ILC	Apollo EMU	-	     150 	?	     50 	 	       0 	 	   2.0 	 	  0.5 	 	    2.0 	 	Suit	1969 Jul 21	      18	 	      88	 	156.90 	 	PCO	-	-
D01054	NNA E	1969-U01	1969-U01	CP EX       	A7L-077	A7L PGA  [Aldrin]	1969 Jul 21	D01052	1969 Jul 21 1754:01	Luna	1969 Jul 21 2145	TFR	D00273	MSC	US	ILC	Apollo EMU	-	     150 	?	     50 	 	       0 	 	   2.0 	 	  0.5 	 	    2.0 	 	Suit	1969 Jul 21	      18	 	      88	 	156.90 	 	PCO	-	-
D01055	NNA	1969-U02	1969-U02	PP HX       	Intrepid	LM 6 Ascent Stage	1969 Nov 20	D00300	1969 Nov 20 1425:56	Luna	1969 Nov 20 1758:28	DK	D00291	NASA	US	GRUM	LM	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    0.0 	 	Irr	1969 Nov 20	-	 	-	 	-	 	Luna	-	-
D01056	NNA E	1969-U02	1969-U02	CP EX       	A7L-065	A7L PGA  [Conrad]	1969 Nov 20	D01055	1969 Nov 20 1425:56	Luna	1969 Nov 20 2000?	TFR	D00291	MSC	US	ILC	Apollo EMU	-	     150 	?	     50 	 	       0 	 	   2.0 	 	  0.5 	 	    2.0 	 	Suit	1969 Nov 20	-	 	-	 	-	 	Luna	-	-
D01057	NNA E	1969-U02	1969-U02	CP EX       	A7L-067	A7L PGA  [Bean]	1969 Nov 20	D01055	1969 Nov 20 1425:56	Luna	1969 Nov 20 2000?	TFR	D00291	MSC	US	ILC	Apollo EMU	-	     150 	?	     50 	 	       0 	 	   2.0 	 	  0.5 	 	    2.0 	 	Suit	1969 Nov 20	-	 	-	 	-	 	Luna	-	-
D01058	NNA	1970-U01	1970-U01	C  MX       	Luna-16 VS	KRD-61	1970 Sep 21	D00334	1970 Sep 21 0743	Luna	1970 Sep 22?	EO	Earth	MOM	SU	-	Luna E-8 VS	KRD-61	     481 	 	    176 	 	       0 	 	   0.5 	 	  2.0 	 	    2.0 	 	Cyl + 2 Sphere	1970 Sep 21	       0	?	     Inf	 	-	 	PCO	-	-
D01059	NNA	1970-U01	1970-U01	PX-RX       	Luna-16 VA	VA	1970 Sep 21	D01058	1970 Sep 21 0743	Luna	1970 Sep 22?	EAO	Earth	MOM	SU	BABTS	Luna E-8 VA	-	      39 	 	     39 	 	      39 	 	   0.5 	 	  0.5 	 	    0.5 	 	Sphere	1970 Sep 21	       0	?	     Inf	 	-	 	PCO	-	-
D01060	NNA	1971-U01	1971-U01	PP HX       	Antares	LM 8 Ascent Stage	1971 Feb  6	D00356	1971 Feb  6 1848:41	Luna	1971 Feb  6 2035:53	DK	D00347	NASA	US	GRUM	LM	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    0.0 	 	Irr	1971 Feb  6	      17	 	      97	 	168.00 	 	PCO	-	-
D01061	NNA E	1971-U01	1971-U01	CP EX       	A7L-090	A7L PGA  [Shepard]	1971 Feb  6	D01060	1971 Feb  6 1848:41	Luna	1971 Feb  6 2230	TFR	D00347	MSC	US	ILC	Apollo EMU	-	     150 	?	     50 	 	       0 	 	   2.0 	 	  0.5 	 	    2.0 	 	Suit	1971 Feb  5	-	 	-	 	-	 	Luna	-	-
