JCAT	Piece	Name	LaunchDate	LState	Owner	OwnState	UNState	Mass	Class	Category	TF	Perigee	Apogee	Inc	OpOrbit
S00965	1964-083D	NNS 30020	1964 Dec 13 0008:10	US	BUWEPS	US	US	      54.000 	D	NAV	Z	    1027	    1084	 89.98 	LEO/P
S01002	1965-008C	LES 1	1965 Feb 11 1519:05	US	AFSSD	US	US	     158.000 	D	COM	Z	    2782	    2805	 32.14 	MEO
S01291	1965-016D	SR 7B	1965 Mar  9 1829:47	US	NRO/NRL	US	US	      47.000 	D	SIG	Z	     909	     938	 70.09 	LEO/I
S01315	1965-027B	EGRS IV	1965 Apr  3 2125	US	ACE/GIMR	US	US	      18.000 	D	GEOD	Z	    1265	    1320	 90.22 	LEO/P
S01430	1965-051A	Tiros 10	1965 Jul  2 0407:00	US	ESSA	US	US	     127.000 	C	MET	Z	     743	     835	 98.60 	LEO/S
S01804	1965-098A	Alouette 2	1965 Nov 29 0448:47	US	DRTE	CA	US*	     145.000 	C	SCI	Z	     502	    2986	 79.85 	LEO/I
S02389	1966-070A	OV3-3	1966 Aug  4 1045:01	US	OAR	US	US	      77.000 	C	SCI	Z	     358	    4479	 81.47 	MEO
S02411	1966-077B	EGRS VII	1966 Aug 19 1925	US	ACE/GIMR	US	US	      18.000 	D	GEOD	Z	    3675	    3700	 90.11 	MEO
S02412	1966-077C	ORS 1	1966 Aug 19 1925	US	AFSSD	US	US	       5.000 	D	TECH	Z	    3684	    3700	 90.11 	MEO
S02768	1967-040D	ERS 20	1967 Apr 28 1001:01	US	AFSSD	US	US	       9.000 	D	TECH	Z	    8982	  110845	 33.28 	VHEO
S03669	1969-009A	Isis 1	1969 Jan 30 0646	US	CRC	CA	US*	     236.000 	C	SCI	Z	     575	    3525	 88.41 	MEO
S03891	1969-037B	EGRS XIII	1969 Apr 14 0754:03	US	ARTOPL	US	US	      18.000 	D	GEOD	Z	    1072	    1131	 99.91 	LEO/S
S04237	1969-082E	OPS 7613 P/L 4	1969 Sep 30 1340	US	NRO/NRL	US	US	     101.000 	D	SIG	Z	     905	     939	 70.01 	LEO/I
S05485	1971-080A	Shinsei	1971 Sep 28 0400:00	J	ISAS	J	J	      66.000 	C	SCI	Z	     869	    1867	 32.07 	LEO/I
S05580	1971-093A	Prospero	1971 Oct 28 0409:29	UK	RAE	UK	UK	      66.000 	C	SCI	Z	     545	    1580	 82.06 	LEO/I
S05680	1971-110C	OPS 7898 P/L 2	1971 Dec 14 1213	US	NRO/NRL	US	US	     123.000 	D	SIG	Z	     987	     987	 70.00 	LEO/I
S06235	1972-082A	NOAA 2	1972 Oct 15 1719:19	US	NOAA	US	US	     309.000 	C	MET	Z	    1450	    1456	101.77 	LEO/S
S07530	1974-089B	AMSAT-OSCAR-7	1974 Nov 15 1711:00	US	AMNA	US	US	      29.000 	A	COM	-	    1440	    1461	101.73 	LEO/S
S10271	1977-076A	Voyager 2	1977 Aug 20 1429:44	US	JPL	US	US	     820.000 	C	PLAN	E	     325	  -20834	 41.86 	EEO
S10321	1977-084A	Voyager 1	1977 Sep  5 1256:01	US	JPL	US	US	     820.000 	C	PLAN	E	     327	  -20658	 28.51 	EEO
S10669	1978-016A	FLTSATCOM F1	1978 Feb  9 2117:01	US	USNESC/SAMSO	US	US	    1876.000 	D	COM	-	   35488	   35694	  2.74 	GEO/D
S11060	1978-096A	Tiros-N	1978 Oct 13 1123:00	US	GSFC	US	US	    1405.000 	C	MET	Z	     847	     865	 98.92 	LEO/S
S14129	1983-058B	AMSAT-OSCAR-10	1983 Jun 16 1159:03	I-ESA	AMDL	D	D	     155.000 	A	COM	-	    3956	   35498	 26.16 	GTO
S14781	1984-021B	UoSAT-OSCAR-11	1984 Mar  1 1759	US	UOS	UK	UK	      60.000 	B	COM	U	     677	     696	 98.25 	LEO/S
S15427	1984-123A	NOAA 9	1984 Dec 12 1042:00	US	NOAA	US	US	    1712.000 	C	MET	Z	     843	     866	 98.93 	LEO/S
S15595	1985-021A	Geosat 1	1985 Mar 13 0200	US	NAVAIR	US	US	     636.000 	C	SCI	Z	     784	     788	108.04 	LEO/R
S19548	1988-091B	TDRS 3	1988 Sep 29 1537:00	US	GSFC	US	US	    2103.000 	C	COM	-	   35784	   35797	  0.01 	GEO/S
S19976	1989-035A	USA 37	1989 May 10 1947:01	US	NRO/SAFSP	US	US	    1000.000 	D	SIG	U	   31000	   41000	 10.00 	GEO/NS
S20253	1989-077A	FLTSATCOM F8	1989 Sep 25 0856:02	US	SPAWAR	US	US	    1928.000 	D	COM	-	   35781	   35786	  4.98 	GEO/I
S20439	1990-005D	AMSAT-OSCAR-16	1990 Jan 22 0135:27	F	AMNA	US	US	      10.000 	A	COM	U	     787	     804	 98.72 	LEO/S
S20442	1990-005G	LUSAT-OSCAR-19	1990 Jan 22 0135:27	F	AMLU	AR	[AR]	      12.000 	A	COM	-	     790	     805	 98.71 	LEO/S
S20580	1990-037B	Hubble Space Telescope	1990 Apr 24 1233:52	US	GSFC	US	US	   10843.000 	C	AST	-	     611	     620	 28.47 	LEO/I
S20776	1990-079A	Skynet 4C	1990 Aug 30 2246:00	F	MOD	UK	UK	    1430.000 	D	COM	-	   35785	   35787	  4.31 	GEO/I
S21639	1991-054B	TDRS 5	1991 Aug  2 1502:00	US	GSFC	US	US	    2534.000 	C	COM	-	   35779	   35787	  0.10 	GEO/S
S21688	1991-061A	IRS-1B	1991 Aug 29 0648:43	SU	ISRO	IN	IN	     990.000 	C	IMG	Z	     893	     920	 99.14 	LEO/S
S22314	1993-003B	TDRS-6	1993 Jan 13 1359:30	US	GSFC	US	US	    2534.000 	C	COM	-	   35778	   35794	  0.07 	GEO/S
