#JCAT	DeepCat	Satcat	Piece	Active	Type	Name	LDate	Parent	Owner	State	SDate	ExpandedStatus	DDate	ODate	Period	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit
# Updated 2025 Aug  5 0505:29
S00001	-	00001	1957 ALP 1	R	R2          	8K71PS No. M1-10 Stage 2	1957 Oct  4	-	RKKE	SU	1957 Oct  4 1933	Reentered Earth atmosphere	1957 Dec  1 1000?	-	-	-	-	-	-	-	-	-
S00002	-	00002	1957 ALP 2	P	P           	1-y ISZ	1957 Oct  4	S00001	RKKE	SU	1957 Oct  4 1933	Reentered Earth atmosphere	1958 Jan  4?	-	-	-	-	-	-	-	-	-
S00003	-	00003	1957 BET 1	P	P A         	2-y ISZ	1957 Nov  3	A00002	RKKE	SU	1957 Nov  3 0235	Reentered attached to A00002 8K71PS No. M1-11 Stage 2	1958 Apr 14 0200?	-	-	-	-	-	-	-	-	-
S00004	-	00004	1958 ALP	P	P A         	Explorer I	1958 Feb  1	A00004	AMCOM/JPL	US	1958 Feb  1 0355	Reentered attached to A00004 Cluster 4 Assembly 4	1970 Mar 31 1045?	-	-	-	-	-	-	-	-	-
S00005	-	00005	1958 BET 2	P	P           	Vanguard I	1958 Mar 17	S00016	NRL	US	1958 Mar 17 1224	In Earth orbit	-	2025 Aug  3 	     132.606 	     649	 	    3821	 	 34.24 	 	MEO
S00006	-	00006	1958 GAM	P	P A         	Explorer III	1958 Mar 26	A00005	AMCOM/JPL	US	1958 Mar 26 1745	Reentered attached to A00005 Cluster 7 Assembly 4	1958 Jun 28	-	-	-	-	-	-	-	-	-
S00007	-	00007	1958 DEL 1	R	R2          	8A91 No. B1-1 Stage 2	1958 May 15	-	RKKE	SU	1958 May 15 0705	Reentered Earth atmosphere	1958 Dec  3	-	-	-	-	-	-	-	-	-
S00008	-	00008	1958 DEL 2	P	P           	3-y Sovetskiy ISZ	1958 May 15	S00007	RKKE	SU	1958 May 15 0706	Reentered Earth atmosphere	1960 Apr  6	-	-	-	-	-	-	-	-	-
S00009	-	00009	1958 EPS	P	P A         	Explorer IV	1958 Jul 26	A00009	AMCOM/JPL	US	1958 Jul 26 1507	Reentered attached to A00009 Cluster 9 Assembly 4	1959 Oct 23	-	-	-	-	-	-	-	-	-
S00010	-	00010	1958 ZET	P	P A         	SCORE	1958 Dec 18	A00015	DOD/CECOMA	US	1958 Dec 18 2306	Reentered attached to A00015 Atlas B 10B	1959 Jan 21	-	-	-	-	-	-	-	-	-
S00011	-	00011	1959 ALP 1	P	P           	Vanguard II	1959 Feb 17	S00012	GSFC	US	1959 Feb 17 1605	In Earth orbit	-	2025 Aug  4 	     121.012 	     552	 	    2900	 	 32.86 	 	LEO/I
S00012	-	00012	1959 ALP 2	R	R3          	Vanguard SLV-4 Stage 3	1959 Feb 17	R02749	GSFC	US	1959 Feb 17 1604	In Earth orbit	-	2025 Aug  4 	     125.453 	     555	 	    3291	 	 32.91 	 	LEO/I
S00013	-	00013	1959 BET	P	P A         	Discoverer 1	1959 Feb 28	A00017	DOD/CIA	US	1959 Feb 28 2156	Reentered attached to A00017 Agena A 1022	1959 Mar  5	-	-	-	-	-	-	-	-	-
S00014	-	00014	1959 GAM	P	P A         	Discoverer 2	1959 Apr 13	A00021	DOD/CIA	US	1959 Apr 13 2126	Reentered attached to A00021 Agena A 1018	1959 Apr 26	-	-	-	-	-	-	-	-	-
S00015	-	00015	1959 DEL 1	P	P           	Explorer VI	1959 Aug  7	S00017	GSFC	US	1959 Aug  7 1430	Reentered Earth atmosphere	1961 Jul  1	-	-	-	-	-	-	-	-	-
S00016	-	00016	1958 BET 1	R	R3          	Vanguard TV-4 Stage 3	1958 Mar 17	R02064	NRL	US	1958 Mar 17 1223	In Earth orbit	-	2025 Aug  4 	     137.199 	     650	 	    4216	 	 34.27 	 	MEO
S00017	-	00017	1959 DEL 2	R	R3          	Thor Able III Stage 3	1959 Aug  7	A00024	SFSSC	US	1959 Aug  7 1428	Reentered Earth atmosphere	1961 Jun 30	-	-	-	-	-	-	-	-	-
S00018	-	00018	1959 EPS 1	P	P A         	Discoverer 5	1959 Aug 13	A00028	DOD/CIA	US	1959 Aug 13 1906	Reentered attached to A00028 Agena A 1029	1959 Sep 28	-	-	-	-	-	-	-	-	-
S00019	-	00019	1959 ZET	P	P A         	Discoverer 6	1959 Aug 19	A00030	DOD/CIA	US	1959 Aug 19 1931	Reentered attached to A00030 Agena A 1028	1959 Oct 20	-	-	-	-	-	-	-	-	-
S00020	-	00020	1959 ETA	P	P A         	Vanguard III	1959 Sep 18	A00034	GSFC	US	1959 Sep 18 0529	Attached to A00034 Vanguard SLV-7 Stage 3	-	-	-	-	-	-	-	-	-	-
S00021	D00009	00021	1959 THE 1	P	P   D       	AMS Luna-3	1959 Oct  4	A00035	RKKE	SU	1959 Oct  4 0055?	Reentered Earth atmosphere	1960 Apr 29	-	-	-	-	-	-	-	-	-
S00022	-	00022	1959 IOT 1	P	P           	Explorer 7	1959 Oct 13	S00023	GSFC	US	1959 Oct 13 1539	In Earth orbit	-	2025 Aug  4 	      94.732 	     443	 	     567	 	 50.27 	 	LLEO/I
S00023	-	00023	1959 IOT 2	R	R4          	Cluster 13 Assembly 4	1959 Oct 13	R03267	AMCOM	US	1959 Oct 13 1539	Reentered Earth atmosphere	1989 Jul 16	-	-	-	-	-	-	-	-	-
S00024	-	00024	1959 KAP	P	P A         	Discoverer 7	1959 Nov  7	A00036	DOD/CIA	US	1959 Nov  7 2035	Reentered attached to A00036 Agena A 1051	1959 Nov 26 1900?	-	-	-	-	-	-	-	-	-
