JCAT	Piece	Name	LDate	GDate	ODate	Period	Perigee	PF	Apogee	AF	Inc	IF	OType	Longitude	DriftRate	TDate	TF	Flags
S00553	1963-004A	Syncom 1	1963 Feb 14	1963 Feb 14 1042	2025 Dec 26 0510	1236.220	28737.6		34817.2		27.07		MEO	103.71E	-	1963 Feb 14	P	-
S00634	1963-031A	Syncom 2	1963 Jul 26	1963 Jul 26 1433	2025 Dec 31 2005	1436.381	35764.4		35819.9		30.34		GEO/T	78.99E	+   0.079W	1969 Apr	P	-
S00858	1964-047A	Syncom 3	1964 Aug 19	1964 Aug 20 1718	2025 Dec 30 2132	1435.099	35745.8		35788.3		6.56		GEO/ID	16.09E	+   0.244E	1974 Dec 29	P	-
S01317	1965-028A	Early Bird	1965 Apr  6	1965 Apr  9 1330	2026 Jan  1 0356	1437.119	35774.2		35839.0		6.75		GEO/ID	71.61W	+   0.264W	1971 Apr	P	-
S02608	1966-110A	ATS 1	1966 Dec  7	1966 Dec  6 1846	2026 Jan  1 1323	1434.774	35728.2		35793.2		4.56		GEO/ID	117.99E	+   0.326E	1985 Apr	P	-
S02639	1967-001A	INTELSAT II F-2	1967 Jan 11	1967 Jan 14	2026 Jan  1 0919	1436.721	35759.2		35838.4		2.83		GEO/D	18.66W	+   0.164W	1977 May	P	-
S02717	1967-026A	INTELSAT II F-3	1967 Mar 23	1967 Mar 25	2026 Jan  1 0559	1435.753	35693.1		35866.7		3.67		GEO/I	0.41E	+   0.079E	1977 May	P	-
S02969	1967-094A	INTELSAT II F-4	1967 Sep 28	1967 Sep 30 2345	2026 Jan  1 1028	1434.818	35707.3		35815.8		3.65		GEO/ID	137.79W	+   0.314E	1977 May	P	-
S03029	1967-111A	ATS 3	1967 Nov  5	1967 Nov  6 1532	2026 Jan  1 1402	1436.098	35726.3		35846.9		2.75		GEO/S	105.10W	+   0.007W	2003?	P	-
S03334	1968-063A	OPS 2222	1968 Aug  6	1968 Aug  6 1800	2026 Jan  1 0456	1450.812	32251.1		39897.2		6.35		GEO/NS	138.83E	+   3.669W	1973?	P	-
S27785	1968-063B	Agena D 2801?	1968 Aug  6	1968 Aug  6 1800	2026 Jan  1 0259	1414.879	31115.2		39625.3		4.81		GEO/NS	123.13E	+   5.406E	1968 Aug  6 1108	R	-
S03428	1968-081A	OV2-5	1968 Sep 26	1968 Sep 26?	2026 Jan  1 1045	1417.879	35089.9		35768.5		1.67		GEO/D	78.39W	+   4.631E	1968 Sep?	P	-
S03430	1968-081C	ERS 21	1968 Sep 26	1968 Sep 26?	1995 Jul 19 0000	1436.477	35765.3		35822.7		13.58		GEO/I	138.85E	+   0.103W	1968 Sep 30?	P	-
S03431	1968-081D	LES 6	1968 Sep 26	1968 Sep 26?	2026 Jan  1 1350	1436.374	35750.6		35833.5		1.27		GEO/S	147.78W	+   0.077W	1976 Jan	P	-
S03432	1968-081E	Transtage 5	1968 Sep 26	1968 Sep 26?	2026 Jan  1 1400	1418.429	35041.5		35838.6		1.63		GEO/D	112.94W	+   4.489E	1968 Sep 26	R	-
S03623	1968-116A	INTELSAT III F-2	1968 Dec 19	1968 Dec 20	2026 Jan  1 1033	1596.558	38462.7		39280.6		4.44		VHEO	120.29W	+  36.287W	1977 May	P	-
S03674	1969-011A	INTELSAT III F-3	1969 Feb  6	1969 Feb  7	2025 Dec 31 1343	1695.501	39860.4		41584.3		9.93		VHEO	179.74E	-	1979 Dec 14	P	-
S03691	1969-013A	OPS 0757	1969 Feb  9	1969 Feb 10	2026 Jan  1 1406	1433.614	35638.3		35837.6		2.43		GEO/D	93.50W	+   0.618E	1972 Dec  4	P	-
S03692	1969-013B	Transtage 17	1969 Feb  9	1969 Feb 10	2026 Jan  1 0743	1476.369	35857.5		37284.9		0.87		GEO/D	3.78E	+   9.854W	1969 Feb  9	R	-
S03889	1969-036A	OPS 3148	1969 Apr 13	1969 Apr 13 0930	2022 Feb 27 1357	1434.054	31851.7		39641.5		10.39		GEO/NS	43.33E	+   0.507E	1975?	P	-
S27786	1969-036B	Agena D 2802?	1969 Apr 13	1969 Apr 13 0930	2026 Jan  1 1052	1386.562	30426.7		39196.0		14.18		GEO/NS	123.85E	+  12.889E	1969 Apr 13 0230	R	-
S03947	1969-045A	INTELSAT III F-4	1969 May 22	1969 May 23	2026 Jan  1 1338	1599.202	38814.9		39028.3		4.20		VHEO	170.73E	+  36.824W	1977 May	P	-
S04068	1969-069A	ATS 5	1969 Aug 12	1969 Aug 11 1710	2026 Jan  1 1401	1447.410	35979.9		36035.6		0.41		GEO/D	111.15W	+   2.829W	1984 Mar 20	P	-
S21052	1969-069C	JPL SR-28-3	1969 Aug 12	1969 Sep  5	2026 Jan  1 1321	1466.675	35831.5		36934.5		1.02		GEO/D	109.36E	+   7.533W	1969 Aug 12 1101:04	C	-
S04250	1969-101A	Skynet IA	1969 Nov 22	1969 Nov 24 0139	2026 Jan  1 1403	1436.070	35674.6		35897.5		0.04		GEO/S	103.51W	+   0.000W	1972 Mar?	P	-
S04297	1970-003A	INTELSAT III F-6	1970 Jan 15	1970 Jan 16 1329	2026 Jan  1 1323	1452.195	36053.4		36148.8		0.65		GEO/D	140.80E	+   4.009W	1977 May 13	P	-
S04353	1970-021A	NATO IIA	1970 Mar 20	1970 Mar 23	2026 Jan  1 1401	1436.028	35768.0		35802.5		0.81		GEO/S	109.47W	+   0.010E	1977?	P	-
S04376	1970-032A	INTELSAT III F-7	1970 Apr 23	1970 Apr 24 2019	2025 Dec 31 1757	1434.366	35730.5		35774.9		2.00		GEO/D	80.83E	+   0.428E	1972 May?	P	-
S04418	1970-046A	OPS 5346	1970 Jun 19	1970 Jun 19?	2021 May 31 2153	1436.212	35746.2		35831.5		2.47		GEO/S	64.82E	+   0.036W	1978?	P	-
S04478	1970-055A	INTELSAT III F-8	1970 Jul 23	1970 Jul 25 0223	2026 Jan  1 0846	1408.094	33920.0		36553.3		5.05		GEO/ID	131.66W	+   7.172E	1970 Jul 25	P	-
S04510	1970-069A	OPS 7329	1970 Sep  1	1970 Sep  1 0800	2026 Jan  1 0906	1437.131	31504.4		40109.2		10.50		GEO/NS	63.50W	+   0.267W	1977?	P	-
S27787	1970-069B	Agena D 2803?	1970 Sep  1	1970 Sep  1 0800	2025 Dec 30 2349	1415.813	30347.2		40430.0		11.41		GEO/NS	42.18E	+   5.164E	1970 Sep  1 0100	R	-
S04881	1971-006A	INTELSAT IV F2	1971 Jan 26	1971 Jan 27 0344	2026 Jan  1 1338	1456.931	36141.4		36245.5		4.78		GEO/ID	152.37W	+   5.169W	1983 May 11	P	-
S04902	1971-009A	NATO IIB	1971 Feb  3	1971 Feb  5 0456	2026 Jan  1 1402	1436.089	35779.7		35793.2		1.56		GEO/S	105.13W	+   0.005W	1983 May?	P	-
S05205	1971-039B	Transtage 20	1971 May  5	1971 May  5?	2020 Mar 18 0507	1433.812	35600.3		35883.4		4.06		GEO/ID	37.38E	+   0.568E	1971 May  5 0743:01	R	-
