#JCAT	Piece	Name	LDate	GDate	ODate	Period	Perigee	PF	Apogee	AF	Inc	IF	OType	Longitude	DriftRate	TDate	TF	Flags
# Updated 2025 Aug  5 0507:15
S00553	1963-004A	Syncom 1	1963 Feb 14	1963 Feb 14 1042	2025 Aug  2 0649:	    1236.218 	   28748.3 	 	   34806.4 	 	 27.37 	 	MEO	134.18W	-	1963 Feb 14	P	-
S00634	1963-031A	Syncom 2	1963 Jul 26	1963 Jul 26 1433	2025 Aug  1 1723:	    1436.095 	   35748.3 	 	   35824.8 	 	 30.67 	 	GEO/T	 87.14E	 +   0.007W	1969 Apr	P	-
S00858	1964-047A	Syncom 3	1964 Aug 19	1964 Aug 20 1718	2025 Jul  7 0906:	    1435.507 	   35759.7 	 	   35790.4 	 	  6.12 	 	GEO/I	 14.74W	 +   0.141E	1974 Dec 29	P	-
S01317	1965-028A	Early Bird	1965 Apr  6	1965 Apr  9 1330	2025 Aug  4 0925:	    1436.291 	   35757.7 	 	   35823.1 	 	  6.38 	 	GEO/I	 48.29W	 +   0.056W	1971 Apr	P	-
S02608	1966-110A	ATS 1	1966 Dec  7	1966 Dec  6 1846	2025 Aug  4 1320:	    1434.370 	   35726.5 	 	   35779.1 	 	  4.18 	 	GEO/ID	 53.32E	 +   0.427E	1985 Apr	P	-
S02639	1967-001A	INTELSAT II F-2	1967 Jan 11	1967 Jan 14     	2025 Aug  4 0432:	    1436.867 	   35776.1 	 	   35827.2 	 	  2.44 	 	GEO/D	  5.31E	 +   0.201W	1977 May	P	-
S02717	1967-026A	INTELSAT II F-3	1967 Mar 23	1967 Mar 25     	2025 Aug  4 0429:	    1436.006 	   35713.2 	 	   35856.5 	 	  3.29 	 	GEO/I	  6.62W	 +   0.016E	1977 May	P	-
S02969	1967-094A	INTELSAT II F-4	1967 Sep 28	1967 Sep 30 2345	2025 Aug  4 1217:	    1435.752 	   35728.7 	 	   35830.9 	 	  3.27 	 	GEO/I	168.12W	 +   0.080E	1977 May	P	-
S03029	1967-111A	ATS 3	1967 Nov  5	1967 Nov  6 1532	2025 Aug  4 1235:	    1436.100 	   35717.2 	 	   35856.1 	 	  2.36 	 	GEO/S	105.41W	 +   0.008W	2003?	P	-
S03334	1968-063A	OPS 2222	1968 Aug  6	1968 Aug  6 1800	2025 Aug  4 1109:	    1450.798 	   32179.8 	 	   39968.0 	 	  6.73 	 	GEO/NS	 44.89W	 +   3.665W	1973?	P	-
S27785	1968-063B	Agena D 2801?	1968 Aug  6	1968 Aug  6 1800	2025 Aug  3 1917:	    1414.900 	   31079.7 	 	   39661.7 	 	  5.19 	 	GEO/NS	 29.36E	 +   5.401E	1968 Aug  6 1108	R	-
S03428	1968-081A	OV2-5	1968 Sep 26	1968 Sep 26?    	2025 Aug  4 0924:	    1417.905 	   35098.6 	 	   35760.9 	 	  1.40 	 	GEO/D	 52.21W	 +   4.624E	1968 Sep?	P	-
S03430	1968-081C	ERS 21	1968 Sep 26	1968 Sep 26?    	1995 Jul 19 0000:	    1436.477 	   35765.3 	 	   35822.7 	 	 13.58 	 	GEO/I	138.85E	 +   0.103W	1968 Sep 30?	P	-
S03431	1968-081D	LES 6	1968 Sep 26	1968 Sep 26?    	2025 Aug  4 1230:	    1437.164 	   35776.9 	 	   35838.0 	 	  1.10 	 	GEO/D	120.83W	 +   0.275W	1976 Jan	P	-
S03432	1968-081E	Transtage 5	1968 Sep 26	1968 Sep 26?    	2025 Aug  4 1246:	    1418.455 	   35048.7 	 	   35832.4 	 	  1.36 	 	GEO/D	 64.41W	 +   4.482E	1968 Sep 26	R	-
S03623	1968-116A	INTELSAT III F-2	1968 Dec 19	1968 Dec 20     	2025 Aug  4 0743:	    1596.554 	   38464.7 	 	   39278.5 	 	  4.83 	 	VHEO	 75.10W	 +  36.286W	1977 May	P	-
S03674	1969-011A	INTELSAT III F-3	1969 Feb  6	1969 Feb  7     	2025 Aug  3 1216:	    1695.479 	   39878.7 	 	   41565.3 	 	 10.31 	 	VHEO	171.43W	-	1979 Dec 14	P	-
S03691	1969-013A	OPS 0757	1969 Feb  9	1969 Feb 10     	2025 Aug  4 1214:	    1434.216 	   35665.1 	 	   35834.5 	 	  2.04 	 	GEO/D	179.16W	 +   0.466E	1972 Dec  4	P	-
S03692	1969-013B	Transtage 17	1969 Feb  9	1969 Feb 10     	2025 Aug  4 1316:	    1476.387 	   35846.3 	 	   37296.9 	 	  0.48 	 	GEO/D	 39.18E	 +   9.858W	1969 Feb  9	R	-
S03889	1969-036A	OPS 3148	1969 Apr 13	1969 Apr 13 0930	2022 Feb 27 1357:	    1434.054 	   31851.7 	 	   39641.5 	 	 10.39 	 	GEO/NS	 43.33E	 +   0.507E	1975?	P	-
S27786	1969-036B	Agena D 2802?	1969 Apr 13	1969 Apr 13 0930	2025 Aug  4 0600:	    1386.574 	   30426.0 	 	   39197.2 	 	 13.96 	 	GEO/NS	 13.29W	 +  12.886E	1969 Apr 13 0230	R	-
S03947	1969-045A	INTELSAT III F-4	1969 May 22	1969 May 23     	2025 Aug  4 0805:	    1599.205 	   38821.7 	 	   39021.7 	 	  4.61 	 	VHEO	 57.79W	 +  36.825W	1977 May	P	-
S04068	1969-069A	ATS 5	1969 Aug 12	1969 Aug 11 1710	2025 Aug  4 1108:	    1447.333 	   35985.4 	 	   36027.1 	 	  0.77 	 	GEO/D	 49.58W	 +   2.810W	1984 Mar 20	P	-
S21052	1969-069C	JPL SR-28-3	1969 Aug 12	1969 Sep  5     	2025 Aug  4 1208:	    1466.637 	   35838.9 	 	   36925.7 	 	  1.42 	 	GEO/D	159.99E	 +   7.524W	1969 Aug 12 1101:04	C	-
S04250	1969-101A	Skynet IA	1969 Nov 22	1969 Nov 24 0139	2025 Aug  4 1235:	    1436.039 	   35682.0 	 	   35888.9 	 	  0.39 	 	GEO/S	105.08W	 +   0.007E	1972 Mar?	P	-
S04297	1970-003A	INTELSAT III F-6	1970 Jan 15	1970 Jan 16 1329	2025 Aug  4 1311:	    1452.219 	   36063.1 	 	   36140.1 	 	  0.27 	 	GEO/D	 22.18E	 +   4.015W	1977 May 13	P	-
S04353	1970-021A	NATO IIA	1970 Mar 20	1970 Mar 23     	2025 Aug  4 1233:	    1436.163 	   35775.6 	 	   35800.2 	 	  1.17 	 	GEO/S	109.57W	 +   0.024W	1977?	P	-
