Notes,State,State Code,ICD Chapter,ICD Chapter Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,01,Certain infectious and parasitic diseases,A00-B99,Septicaemia due to unspecified staphylococcus,A41.2,12,4430141,0.3 (Unreliable)
,Alabama,01,Certain infectious and parasitic diseases,A00-B99,Septicaemia due to other Gram-negative organisms,A41.5,22,4430141,0.5
,Alabama,01,Certain infectious and parasitic diseases,A00-B99,"Septicaemia, unspecified",A41.9,643,4430141,14.5
,Alabama,01,Certain infectious and parasitic diseases,A00-B99,"Bacterial infection, unspecified",A49.9,16,4430141,0.4 (Unreliable)
,Alabama,01,Certain infectious and parasitic diseases,A00-B99,Acute hepatitis B without delta-agent and without hepatic coma,B16.9,10,4430141,0.2 (Unreliable)
,Alabama,01,Certain infectious and parasitic diseases,A00-B99,Acute hepatitis C,B17.1,37,4430141,0.8
,Alabama,01,Certain infectious and parasitic diseases,A00-B99,HIV disease resulting in other bacterial infections,B20.1,11,4430141,0.2 (Unreliable)
,Alabama,01,Certain infectious and parasitic diseases,A00-B99,HIV disease resulting in multiple infections,B20.7,13,4430141,0.3 (Unreliable)
,Alabama,01,Certain infectious and parasitic diseases,A00-B99,HIV disease resulting in other infectious and parasitic diseases,B20.8,17,4430141,0.4 (Unreliable)
,Alabama,01,Certain infectious and parasitic diseases,A00-B99,HIV disease resulting in encephalopathy,B22.0,10,4430141,0.2 (Unreliable)
,Alabama,01,Certain infectious and parasitic diseases,A00-B99,HIV disease resulting in multiple diseases classified elsewhere,B22.7,14,4430141,0.3 (Unreliable)
,Alabama,01,Certain infectious and parasitic diseases,A00-B99,HIV disease resulting in other specified conditions,B23.8,32,4430141,0.7
,Alabama,01,Certain infectious and parasitic diseases,A00-B99,Unspecified human immunodeficiency virus [HIV] disease,B24,44,4430141,1.0
,Alabama,01,Certain infectious and parasitic diseases,A00-B99,Sequelae of other specified infectious and parasitic diseases,B94.8,24,4430141,0.5
,Alabama,01,Neoplasms,C00-D48,"Tongue, unspecified - Malignant neoplasms",C02.9,22,4430141,0.5
,Alabama,01,Neoplasms,C00-D48,"Mouth, unspecified - Malignant neoplasms",C06.9,19,4430141,0.4 (Unreliable)
,Alabama,01,Neoplasms,C00-D48,"Tonsil, unspecified - Malignant neoplasms",C09.9,12,4430141,0.3 (Unreliable)
,Alabama,01,Neoplasms,C00-D48,"Oropharynx, unspecified - Malignant neoplasms",C10.9,11,4430141,0.2 (Unreliable)
,Alabama,01,Neoplasms,C00-D48,"Nasopharynx, unspecified - Malignant neoplasms",C11.9,12,4430141,0.3 (Unreliable)
,Alabama,01,Neoplasms,C00-D48,"Pharynx, unspecified - Malignant neoplasms",C14.0,32,4430141,0.7
,Alabama,01,Neoplasms,C00-D48,"Oesophagus, unspecified - Malignant neoplasms",C15.9,150,4430141,3.4
,Alabama,01,Neoplasms,C00-D48,"Stomach, unspecified - Malignant neoplasms",C16.9,182,4430141,4.1
,Alabama,01,Neoplasms,C00-D48,"Colon, unspecified - Malignant neoplasms",C18.9,724,4430141,16.3
,Alabama,01,Neoplasms,C00-D48,Malignant neoplasm of rectosigmoid junction,C19,28,4430141,0.6
,Alabama,01,Neoplasms,C00-D48,Malignant neoplasm of rectum,C20,73,4430141,1.6
,Alabama,01,Neoplasms,C00-D48,Liver cell carcinoma - Malignant neoplasms,C22.0,59,4430141,1.3
,Alabama,01,Neoplasms,C00-D48,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,30,4430141,0.7
,Alabama,01,Neoplasms,C00-D48,"Liver, unspecified - Malignant neoplasms",C22.9,142,4430141,3.2
,Alabama,01,Neoplasms,C00-D48,Malignant neoplasm of gallbladder,C23,21,4430141,0.5
,Alabama,01,Neoplasms,C00-D48,Extrahepatic bile duct - Malignant neoplasms,C24.0,13,4430141,0.3 (Unreliable)
,Alabama,01,Neoplasms,C00-D48,"Pancreas, unspecified - Malignant neoplasms",C25.9,519,4430141,11.7
,Alabama,01,Neoplasms,C00-D48,Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,15,4430141,0.3 (Unreliable)
,Alabama,01,Neoplasms,C00-D48,"Larynx, unspecified - Malignant neoplasms",C32.9,45,4430141,1.0
,Alabama,01,Neoplasms,C00-D48,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,2842,4430141,64.2
,Alabama,01,Neoplasms,C00-D48,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,27,4430141,0.6
,Alabama,01,Neoplasms,C00-D48,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,99,4430141,2.2
,Alabama,01,Neoplasms,C00-D48,Skin of scalp and neck - Malignant neoplasms,C44.4,18,4430141,0.4 (Unreliable)
,Alabama,01,Neoplasms,C00-D48,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,14,4430141,0.3 (Unreliable)
,Alabama,01,Neoplasms,C00-D48,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,28,4430141,0.6
,Alabama,01,Neoplasms,C00-D48,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,45,4430141,1.0
,Alabama,01,Neoplasms,C00-D48,"Breast, unspecified - Malignant neoplasms",C50.9,660,4430141,14.9
,Alabama,01,Neoplasms,C00-D48,"Vulva, unspecified - Malignant neoplasms",C51.9,10,4430141,0.2 (Unreliable)
,Alabama,01,Neoplasms,C00-D48,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,61,4430141,1.4
,Alabama,01,Neoplasms,C00-D48,Endometrium - Malignant neoplasms,C54.1,52,4430141,1.2
,Alabama,01,Neoplasms,C00-D48,"Malignant neoplasm of uterus, part unspecified",C55,62,4430141,1.4
,Alabama,01,Neoplasms,C00-D48,Malignant neoplasm of ovary,C56,213,4430141,4.8
,Alabama,01,Neoplasms,C00-D48,Malignant neoplasm of prostate,C61,613,4430141,13.8
,Alabama,01,Neoplasms,C00-D48,"Malignant neoplasm of kidney, except renal pelvis",C64,153,4430141,3.5
,Alabama,01,Neoplasms,C00-D48,"Bladder, unspecified - Malignant neoplasms",C67.9,138,4430141,3.1
,Alabama,01,Neoplasms,C00-D48,"Brain, unspecified - Malignant neoplasms",C71.9,197,4430141,4.4
,Alabama,01,Neoplasms,C00-D48,Malignant neoplasm of thyroid gland,C73,23,4430141,0.5
,Alabama,01,Neoplasms,C00-D48,"Adrenal gland, unspecified - Malignant neoplasms",C74.9,10,4430141,0.2 (Unreliable)
,Alabama,01,Neoplasms,C00-D48,"Head, face and neck - Malignant neoplasms",C76.0,50,4430141,1.1
,Alabama,01,Neoplasms,C00-D48,Abdomen - Malignant neoplasms,C76.2,14,4430141,0.3 (Unreliable)
,Alabama,01,Neoplasms,C00-D48,Secondary malignant neoplasm of lung - Malignant neoplasms,C78.0,14,4430141,0.3 (Unreliable)
,Alabama,01,Neoplasms,C00-D48,Secondary malignant neoplasm of liver - Malignant neoplasms,C78.7,30,4430141,0.7
,Alabama,01,Neoplasms,C00-D48,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,20,4430141,0.5
,Alabama,01,Neoplasms,C00-D48,Malignant neoplasm without specification of site,C80,758,4430141,17.1
,Alabama,01,Neoplasms,C00-D48,"Hodgkin disease, unspecified",C81.9,28,4430141,0.6
,Alabama,01,Neoplasms,C00-D48,Non-Hodgkin lymphoma large cell (diffuse),C83.3,12,4430141,0.3 (Unreliable)
,Alabama,01,Neoplasms,C00-D48,"Non-Hodgkin lymphoma, unspecified type",C85.9,295,4430141,6.7
,Alabama,01,Neoplasms,C00-D48,Multiple myeloma - Malignant neoplasms,C90.0,167,4430141,3.8
,Alabama,01,Neoplasms,C00-D48,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,20,4430141,0.5
,Alabama,01,Neoplasms,C00-D48,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,83,4430141,1.9
,Alabama,01,Neoplasms,C00-D48,Acute myeloid leukaemia - Malignant neoplasms,C92.0,88,4430141,2.0
,Alabama,01,Neoplasms,C00-D48,Chronic myeloid leukaemia - Malignant neoplasms,C92.1,16,4430141,0.4 (Unreliable)
,Alabama,01,Neoplasms,C00-D48,Acute leukaemia of unspecified cell type - Malignant neoplasms,C95.0,35,4430141,0.8
