"Notes","State","State Code","Year","Year Code","Age Group","Age Group Code","Cause of death","Cause of death Code",Deaths,Population,Crude Rate
,"Vermont","50","1999","1999","45-54 years","45-54","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",28,90995,30.8
,"Vermont","50","1999","1999","45-54 years","45-54","Breast, unspecified - Malignant neoplasms","C50.9",13,90995,14.3 (Unreliable)
,"Vermont","50","1999","1999","45-54 years","45-54","Malignant neoplasm without specification of site","C80",11,90995,12.1 (Unreliable)
,"Vermont","50","1999","1999","45-54 years","45-54","Acute myocardial infarction, unspecified","I21.9",21,90995,23.1
,"Vermont","50","1999","1999","45-54 years","45-54","Atherosclerotic heart disease","I25.1",27,90995,29.7
,"Vermont","50","1999","1999","55-64 years","55-64","Colon, unspecified - Malignant neoplasms","C18.9",12,55054,21.8 (Unreliable)
,"Vermont","50","1999","1999","55-64 years","55-64","Pancreas, unspecified - Malignant neoplasms","C25.9",12,55054,21.8 (Unreliable)
,"Vermont","50","1999","1999","55-64 years","55-64","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",69,55054,125.3
,"Vermont","50","1999","1999","55-64 years","55-64","Breast, unspecified - Malignant neoplasms","C50.9",14,55054,25.4 (Unreliable)
,"Vermont","50","1999","1999","55-64 years","55-64","Malignant neoplasm without specification of site","C80",10,55054,18.2 (Unreliable)
,"Vermont","50","1999","1999","55-64 years","55-64","Unspecified diabetes mellitus, without complications","E14.9",18,55054,32.7 (Unreliable)
,"Vermont","50","1999","1999","55-64 years","55-64","Acute myocardial infarction, unspecified","I21.9",39,55054,70.8
,"Vermont","50","1999","1999","55-64 years","55-64","Atherosclerotic heart disease","I25.1",33,55054,59.9
,"Vermont","50","1999","1999","55-64 years","55-64","Chronic obstructive pulmonary disease, unspecified","J44.9",13,55054,23.6 (Unreliable)
,"Vermont","50","1999","1999","65-74 years","65-74","Oesophagus, unspecified - Malignant neoplasms","C15.9",11,40395,27.2 (Unreliable)
,"Vermont","50","1999","1999","65-74 years","65-74","Colon, unspecified - Malignant neoplasms","C18.9",26,40395,64.4
,"Vermont","50","1999","1999","65-74 years","65-74","Pancreas, unspecified - Malignant neoplasms","C25.9",26,40395,64.4
,"Vermont","50","1999","1999","65-74 years","65-74","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",103,40395,255.0
,"Vermont","50","1999","1999","65-74 years","65-74","Breast, unspecified - Malignant neoplasms","C50.9",22,40395,54.5
,"Vermont","50","1999","1999","65-74 years","65-74","Malignant neoplasm of prostate","C61",21,40395,52.0
,"Vermont","50","1999","1999","65-74 years","65-74","Malignant neoplasm without specification of site","C80",19,40395,47.0 (Unreliable)
,"Vermont","50","1999","1999","65-74 years","65-74","Non-Hodgkin lymphoma, unspecified type","C85.9",13,40395,32.2 (Unreliable)
,"Vermont","50","1999","1999","65-74 years","65-74","Unspecified diabetes mellitus, without complications","E14.9",39,40395,96.5
,"Vermont","50","1999","1999","65-74 years","65-74","Parkinson disease","G20",13,40395,32.2 (Unreliable)
,"Vermont","50","1999","1999","65-74 years","65-74","Acute myocardial infarction, unspecified","I21.9",81,40395,200.5
,"Vermont","50","1999","1999","65-74 years","65-74","Atherosclerotic cardiovascular disease, so described","I25.0",23,40395,56.9
,"Vermont","50","1999","1999","65-74 years","65-74","Atherosclerotic heart disease","I25.1",66,40395,163.4
,"Vermont","50","1999","1999","65-74 years","65-74","Stroke, not specified as haemorrhage or infarction","I64",16,40395,39.6 (Unreliable)
,"Vermont","50","1999","1999","65-74 years","65-74","Pneumonia, unspecified","J18.9",10,40395,24.8 (Unreliable)
,"Vermont","50","1999","1999","65-74 years","65-74","Emphysema, unspecified","J43.9",11,40395,27.2 (Unreliable)
,"Vermont","50","1999","1999","65-74 years","65-74","Chronic obstructive pulmonary disease, unspecified","J44.9",66,40395,163.4
,"Vermont","50","1999","1999","75-84 years","75-84","Septicaemia, unspecified","A41.9",12,26378,45.5 (Unreliable)
,"Vermont","50","1999","1999","75-84 years","75-84","Colon, unspecified - Malignant neoplasms","C18.9",39,26378,147.9
,"Vermont","50","1999","1999","75-84 years","75-84","Pancreas, unspecified - Malignant neoplasms","C25.9",26,26378,98.6
,"Vermont","50","1999","1999","75-84 years","75-84","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",94,26378,356.4
,"Vermont","50","1999","1999","75-84 years","75-84","Breast, unspecified - Malignant neoplasms","C50.9",22,26378,83.4
,"Vermont","50","1999","1999","75-84 years","75-84","Malignant neoplasm of prostate","C61",29,26378,109.9
,"Vermont","50","1999","1999","75-84 years","75-84","Bladder, unspecified - Malignant neoplasms","C67.9",13,26378,49.3 (Unreliable)
,"Vermont","50","1999","1999","75-84 years","75-84","Malignant neoplasm without specification of site","C80",21,26378,79.6
,"Vermont","50","1999","1999","75-84 years","75-84","Non-Hodgkin lymphoma, unspecified type","C85.9",23,26378,87.2
,"Vermont","50","1999","1999","75-84 years","75-84","Unspecified diabetes mellitus, without complications","E14.9",39,26378,147.9
,"Vermont","50","1999","1999","75-84 years","75-84","Unspecified dementia","F03",16,26378,60.7 (Unreliable)
,"Vermont","50","1999","1999","75-84 years","75-84","Parkinson disease","G20",20,26378,75.8
,"Vermont","50","1999","1999","75-84 years","75-84","Alzheimer disease, unspecified","G30.9",43,26378,163.0
,"Vermont","50","1999","1999","75-84 years","75-84","Acute myocardial infarction, unspecified","I21.9",129,26378,489.0
,"Vermont","50","1999","1999","75-84 years","75-84","Atherosclerotic cardiovascular disease, so described","I25.0",52,26378,197.1
,"Vermont","50","1999","1999","75-84 years","75-84","Atherosclerotic heart disease","I25.1",120,26378,454.9
,"Vermont","50","1999","1999","75-84 years","75-84","Congestive heart failure","I50.0",23,26378,87.2
,"Vermont","50","1999","1999","75-84 years","75-84","Intracerebral haemorrhage, unspecified","I61.9",12,26378,45.5 (Unreliable)
,"Vermont","50","1999","1999","75-84 years","75-84","Stroke, not specified as haemorrhage or infarction","I64",56,26378,212.3
,"Vermont","50","1999","1999","75-84 years","75-84","Pneumonia, unspecified","J18.9",36,26378,136.5
,"Vermont","50","1999","1999","75-84 years","75-84","Chronic obstructive pulmonary disease, unspecified","J44.9",103,26378,390.5
,"Vermont","50","1999","1999","75-84 years","75-84","Other interstitial pulmonary diseases with fibrosis","J84.1",10,26378,37.9 (Unreliable)
,"Vermont","50","1999","1999","75-84 years","75-84","Other and unspecified cirrhosis of liver","K74.6",10,26378,37.9 (Unreliable)
,"Vermont","50","1999","1999","75-84 years","75-84","Urinary tract infection, site not specified","N39.0",11,26378,41.7 (Unreliable)
,"Vermont","50","1999","1999","85+ years","85+","Septicaemia, unspecified","A41.9",11,9854,111.6 (Unreliable)
,"Vermont","50","1999","1999","85+ years","85+","Colon, unspecified - Malignant neoplasms","C18.9",25,9854,253.7
